ID,Cliente,Compras,Visitas,Monto_Total,Devoluciones,Reseñas,Calificacion_Promedio,Fecha_Primera_Compra,Categoria_Favorita,Tasa_Conversion,Ticket_Promedio,Tasa_Devolucion,Segmento
22,Luis García,38,24,2562.67,5,9,4.7,2025-01-17,Electrónica,158.33,67.44,13.16,Regular
23,Laura Torres,2,12,1249.93,0,5,1.2,2025-06-19,Electrónica,16.67,624.96,0.0,Ocasional
24,María Sánchez,21,50,618.44,9,12,1.7,2024-12-20,Ropa,42.0,29.45,42.86,Regular
25,María Torres,33,35,3072.57,5,6,1.5,2025-12-31,Hogar,94.29,93.11,15.15,Premium
26,Luis Flores,12,33,1478.72,0,8,3.9,2025-03-25,Ropa,36.36,123.23,0.0,Ocasional
27,Carmen Flores,22,33,2927.13,5,0,4.3,2024-10-17,Ropa,66.67,133.05,22.73,Regular
28,Ana Rodríguez,44,61,814.1,9,10,1.9,2024-02-22,Hogar,72.13,18.5,20.45,Regular
29,Juan López,25,51,2431.64,7,6,3.0,2025-01-19,Hogar,49.02,97.27,28.0,Regular
30,Luis Rodríguez,49,43,2686.32,1,7,4.4,2025-01-14,Hogar,113.95,54.82,2.04,Regular
31,Ana Rodríguez,27,12,306.53,1,11,3.9,2024-04-05,Electrónica,225.0,11.35,3.7,Regular
32,José González,42,67,1716.19,3,13,3.2,2024-04-17,Electrónica,62.69,40.86,7.14,Regular
33,Laura Pérez,28,65,715.35,2,2,3.4,2025-09-11,Deportes,43.08,25.55,7.14,Regular
34,Carlos Pérez,16,33,363.71,3,3,3.0,2024-09-24,Deportes,48.48,22.73,18.75,Regular
35,Carmen López,15,40,4950.3,6,9,2.2,2026-01-07,Ropa,37.5,330.02,40.0,Regular
36,Luis Rodríguez,47,74,1645.65,0,5,3.3,2025-10-07,Ropa,63.51,35.01,0.0,Regular
37,Isabel Martínez,44,43,4058.88,5,9,3.8,2024-09-17,Deportes,102.33,92.25,11.36,Premium
38,Miguel López,3,44,1310.47,2,6,4.5,2024-06-19,Libros,6.82,436.82,66.67,Ocasional
39,Carlos Ramírez,37,29,3423.44,9,12,3.5,2025-03-11,Ropa,127.59,92.53,24.32,Premium
40,José González,7,13,3813.13,6,13,4.0,2025-11-03,Libros,53.85,544.73,85.71,Regular
41,Miguel López,21,12,2998.41,9,3,1.6,2024-11-20,Libros,175.0,142.78,42.86,Regular
42,Carmen García,9,95,2384.3,1,7,2.8,2025-11-03,Hogar,9.47,264.92,11.11,Regular
43,Ana García,39,46,2088.61,1,4,1.0,2024-08-24,Electrónica,84.78,53.55,2.56,Regular
44,Carmen Sánchez,18,2,1776.9,3,0,2.0,2024-11-03,Deportes,900.0,98.72,16.67,Regular
45,Luis Rodríguez,4,35,4651.17,0,3,3.9,2026-01-29,Electrónica,11.43,1162.79,0.0,Regular
46,Ana Flores,25,87,4161.57,2,2,5.0,2025-09-19,Deportes,28.74,166.46,8.0,Regular
47,Carmen López,14,81,4826.88,8,8,1.4,2024-12-21,Electrónica,17.28,344.78,57.14,Regular
48,Laura Sánchez,9,90,665.27,6,7,2.6,2024-04-14,Deportes,10.0,73.92,66.67,Ocasional
49,Laura Martínez,26,8,3667.79,6,0,4.2,2025-09-08,Electrónica,325.0,141.07,23.08,Regular
50,Luis Martínez,2,93,4694.79,3,10,1.8,2025-11-29,Hogar,2.15,2347.4,150.0,Regular
51,Ana Torres,20,26,947.1,1,5,3.2,2024-10-21,Libros,76.92,47.36,5.0,Regular
52,Miguel González,28,74,379.16,3,8,3.9,2025-05-18,Deportes,37.84,13.54,10.71,Regular
53,Isabel Sánchez,47,90,3718.55,5,6,3.5,2025-03-04,Libros,52.22,79.12,10.64,Premium
54,Isabel Sánchez,7,34,2893.64,2,3,1.8,2024-05-16,Deportes,20.59,413.38,28.57,Regular
55,Carmen López,44,7,4217.05,0,12,2.4,2024-03-06,Deportes,628.57,95.84,0.0,Premium
56,Carlos Torres,8,68,741.87,7,0,4.1,2025-01-02,Hogar,11.76,92.73,87.5,Ocasional
57,Laura Rodríguez,47,58,3986.57,4,11,3.2,2024-04-19,Electrónica,81.03,84.82,8.51,Premium
58,Juan Rodríguez,35,75,1048.06,4,1,1.0,2025-11-23,Deportes,46.67,29.94,11.43,Regular
59,Carlos Martínez,14,29,860.1,3,11,4.0,2025-03-14,Electrónica,48.28,61.44,21.43,Ocasional
60,José Flores,17,36,863.12,5,4,1.1,2024-03-25,Hogar,47.22,50.77,29.41,Regular
61,María Sánchez,36,89,4082.14,2,11,4.0,2024-08-16,Ropa,40.45,113.39,5.56,Premium
62,José Flores,40,21,3342.73,8,10,1.8,2025-01-20,Libros,190.48,83.57,20.0,Premium
63,Laura Torres,4,36,2639.17,4,4,4.8,2025-03-26,Deportes,11.11,659.79,100.0,Regular
64,Luis Torres,2,10,1826.21,2,7,2.5,2024-05-13,Hogar,20.0,913.1,100.0,Regular
65,Juan Rodríguez,6,73,4392.14,0,5,2.3,2024-10-02,Electrónica,8.22,732.02,0.0,Regular
66,Miguel González,42,24,1992.6,9,7,1.6,2024-08-08,Deportes,175.0,47.44,21.43,Regular
67,Carmen Rodríguez,4,64,4092.17,5,1,2.2,2026-01-08,Electrónica,6.25,1023.04,125.0,Regular
68,Luis Sánchez,29,99,2223.72,1,2,4.5,2024-05-22,Ropa,29.29,76.68,3.45,Regular
69,Carlos Ramírez,18,49,1915.87,2,5,5.0,2025-12-05,Deportes,36.73,106.44,11.11,Regular
70,Juan González,26,99,2340.26,0,11,2.5,2025-06-18,Libros,26.26,90.01,0.0,Regular
71,Miguel Martínez,44,36,1541.82,8,12,2.8,2024-05-08,Deportes,122.22,35.04,18.18,Regular
72,Miguel Rodríguez,34,82,3750.67,7,9,3.9,2024-03-15,Libros,41.46,110.31,20.59,Premium
73,Luis Torres,10,96,2538.47,1,2,4.5,2025-04-25,Electrónica,10.42,253.85,10.0,Regular
74,Isabel López,36,24,1199.45,7,5,3.4,2025-06-26,Deportes,150.0,33.32,19.44,Regular
75,Carlos Pérez,14,23,4502.89,8,5,2.6,2025-11-13,Hogar,60.87,321.64,57.14,Regular
76,Carlos Torres,31,62,1950.26,0,1,2.7,2024-11-26,Hogar,50.0,62.91,0.0,Regular
77,Miguel García,48,96,2740.59,4,6,3.8,2025-11-05,Ropa,50.0,57.1,8.33,Regular
78,Isabel Pérez,15,37,4537.04,7,11,1.0,2024-05-06,Hogar,40.54,302.47,46.67,Regular
79,Laura García,8,12,3139.98,1,1,3.5,2024-02-24,Ropa,66.67,392.5,12.5,Regular
80,María Pérez,14,55,628.65,3,5,2.4,2025-11-03,Electrónica,25.45,44.9,21.43,Ocasional
81,Luis López,23,13,4702.17,6,0,4.2,2024-11-16,Libros,176.92,204.44,26.09,Regular
82,Juan López,40,23,3157.15,2,2,1.4,2025-08-27,Electrónica,173.91,78.93,5.0,Premium
83,Isabel Rodríguez,21,89,1707.78,4,1,3.4,2024-03-05,Libros,23.6,81.32,19.05,Regular
84,María Ramírez,16,99,739.4,7,6,2.9,2025-04-13,Libros,16.16,46.21,43.75,Regular
85,María Torres,45,30,3980.42,9,13,3.6,2026-01-15,Ropa,150.0,88.45,20.0,Premium
86,Carlos Martínez,18,17,3119.36,2,3,1.3,2025-12-28,Hogar,105.88,173.3,11.11,Regular
87,Laura Torres,47,62,2690.63,3,7,3.3,2025-03-18,Hogar,75.81,57.25,6.38,Regular
88,Carlos González,24,84,4474.77,8,5,3.2,2025-12-18,Ropa,28.57,186.45,33.33,Regular
89,Miguel Flores,26,89,3953.56,6,11,3.2,2025-04-19,Ropa,29.21,152.06,23.08,Regular
90,José López,25,86,800.79,0,9,3.4,2025-02-11,Electrónica,29.07,32.03,0.0,Regular
91,Miguel López,45,13,1593.02,3,3,3.7,2025-01-26,Ropa,346.15,35.4,6.67,Regular
92,Luis Sánchez,41,59,1280.02,3,4,4.2,2024-11-29,Hogar,69.49,31.22,7.32,Regular
93,Carmen Ramírez,29,19,3732.53,8,12,2.1,2025-09-17,Ropa,152.63,128.71,27.59,Regular
94,Miguel Ramírez,15,49,215.99,5,12,4.3,2025-06-08,Ropa,30.61,14.4,33.33,Ocasional
95,María López,45,12,2870.95,8,14,3.0,2024-08-19,Libros,375.0,63.8,17.78,Regular
96,Ana Rodríguez,1,61,3824.17,5,14,1.3,2024-12-19,Ropa,1.64,3824.17,500.0,Regular
97,Carmen García,25,19,4389.99,5,8,1.2,2024-07-14,Electrónica,131.58,175.6,20.0,Regular
98,Isabel Torres,7,76,1743.3,4,6,2.3,2024-03-17,Ropa,9.21,249.04,57.14,Regular
99,Ana Flores,9,9,4115.22,4,9,4.1,2025-08-13,Deportes,100.0,457.25,44.44,Regular
100,Ana García,24,71,597.63,1,13,3.8,2025-08-23,Deportes,33.8,24.9,4.17,Regular
101,María García,1,28,4239.94,7,13,4.2,2025-08-18,Libros,3.57,4239.94,700.0,Regular
102,Ana Rodríguez,44,78,681.07,7,8,3.1,2025-11-25,Libros,56.41,15.48,15.91,Regular
103,Juan Pérez,8,95,2016.57,0,6,2.8,2024-05-30,Deportes,8.42,252.07,0.0,Regular
104,María Torres,24,52,3996.61,7,11,1.6,2025-01-18,Libros,46.15,166.53,29.17,Regular
105,Ana González,11,83,792.09,4,0,2.3,2024-05-20,Libros,13.25,72.01,36.36,Ocasional
106,Laura López,17,16,1184.79,1,11,2.7,2024-03-16,Hogar,106.25,69.69,5.88,Regular
107,Miguel Martínez,8,69,3625.15,1,7,1.4,2025-06-12,Hogar,11.59,453.14,12.5,Regular
108,Isabel Flores,35,99,3614.18,5,3,1.9,2024-09-22,Ropa,35.35,103.26,14.29,Premium
109,Laura López,35,12,3223.68,8,2,3.4,2024-06-26,Deportes,291.67,92.11,22.86,Premium
110,Laura Sánchez,33,25,3485.04,0,13,3.9,2025-09-20,Electrónica,132.0,105.61,0.0,Premium
111,Ana Rodríguez,5,52,2736.49,5,12,5.0,2025-06-21,Deportes,9.62,547.3,100.0,Regular
112,María Sánchez,42,85,1296.41,8,6,4.7,2024-10-29,Deportes,49.41,30.87,19.05,Regular
113,Carmen Sánchez,39,53,1761.2,7,11,3.6,2024-05-01,Hogar,73.58,45.16,17.95,Regular
114,José Ramírez,41,23,948.91,5,2,2.7,2025-05-29,Hogar,178.26,23.14,12.2,Regular
115,Juan Rodríguez,28,16,4546.83,2,7,3.5,2024-10-31,Libros,175.0,162.39,7.14,Regular
116,Juan Sánchez,7,57,2937.79,7,5,4.1,2025-05-28,Electrónica,12.28,419.68,100.0,Regular
117,Carmen Rodríguez,9,39,2034.21,8,4,1.5,2024-04-02,Hogar,23.08,226.02,88.89,Regular
118,Ana López,8,53,2336.93,0,3,2.6,2026-02-04,Libros,15.09,292.12,0.0,Regular
119,Ana Torres,12,42,4739.05,8,7,4.4,2024-10-25,Electrónica,28.57,394.92,66.67,Regular
120,Laura Martínez,34,58,809.09,5,7,2.5,2025-04-25,Hogar,58.62,23.8,14.71,Regular
121,José Martínez,33,39,2951.84,5,11,3.3,2024-03-22,Deportes,84.62,89.45,15.15,Regular
122,Luis Ramírez,48,14,2554.15,3,0,3.4,2024-08-03,Deportes,342.86,53.21,6.25,Regular
123,Ana Rodríguez,23,95,3076.7,0,8,1.7,2025-09-05,Electrónica,24.21,133.77,0.0,Regular
124,Laura Torres,24,5,139.65,9,13,2.4,2025-11-30,Electrónica,480.0,5.82,37.5,Regular
125,María García,37,35,4367.01,7,4,2.3,2024-11-18,Hogar,105.71,118.03,18.92,Premium
126,Miguel García,35,87,4663.99,1,3,1.1,2025-02-25,Hogar,40.23,133.26,2.86,Premium
127,María López,44,93,2847.41,0,5,1.1,2024-06-22,Electrónica,47.31,64.71,0.0,Regular
128,Carlos Sánchez,40,75,3498.42,1,5,4.3,2025-04-13,Electrónica,53.33,87.46,2.5,Premium
129,Laura Ramírez,22,18,4616.37,0,1,2.1,2024-04-30,Libros,122.22,209.84,0.0,Regular
130,Ana Sánchez,27,76,3550.83,0,7,3.1,2024-12-06,Libros,35.53,131.51,0.0,Regular
131,Juan Martínez,35,9,805.07,8,6,2.2,2024-03-09,Libros,388.89,23.0,22.86,Regular
132,José García,1,74,2902.63,0,0,4.8,2025-06-02,Deportes,1.35,2902.63,0.0,Regular
133,José González,35,58,3053.24,3,4,2.0,2024-11-03,Deportes,60.34,87.24,8.57,Premium
134,Laura González,37,17,2149.45,9,11,2.7,2025-04-10,Libros,217.65,58.09,24.32,Regular
135,José Torres,47,7,3695.4,5,5,4.5,2025-07-25,Libros,671.43,78.63,10.64,Premium
136,Laura Martínez,14,46,4675.12,6,3,4.4,2025-01-16,Electrónica,30.43,333.94,42.86,Regular
137,Ana González,3,13,4631.56,1,1,1.7,2024-10-07,Deportes,23.08,1543.85,33.33,Regular
138,Ana García,1,40,2281.65,5,12,4.2,2025-10-27,Libros,2.5,2281.65,500.0,Regular
139,Isabel Torres,5,42,610.53,6,13,2.8,2025-06-16,Ropa,11.9,122.11,120.0,Ocasional
140,Juan Pérez,26,9,4924.96,9,3,2.9,2025-01-19,Hogar,288.89,189.42,34.62,Regular
141,Juan García,14,50,4202.55,9,0,1.5,2024-07-08,Libros,28.0,300.18,64.29,Regular
142,Isabel Ramírez,39,27,667.08,1,6,1.3,2025-02-11,Deportes,144.44,17.1,2.56,Regular
143,Miguel Torres,27,66,4608.17,1,1,3.9,2024-07-05,Libros,40.91,170.67,3.7,Regular
144,Carlos García,9,5,4355.99,9,12,3.0,2025-04-17,Ropa,180.0,484.0,100.0,Regular
145,Miguel Rodríguez,15,29,2618.25,6,1,2.7,2024-02-28,Electrónica,51.72,174.55,40.0,Regular
146,Carlos Rodríguez,15,37,2976.81,0,8,3.9,2025-04-17,Deportes,40.54,198.45,0.0,Regular
147,Isabel Rodríguez,26,38,2025.06,7,4,4.1,2026-01-22,Electrónica,68.42,77.89,26.92,Regular
148,Ana Sánchez,42,83,321.07,2,1,1.6,2024-04-10,Hogar,50.6,7.64,4.76,Regular
149,María Flores,13,8,1709.23,5,10,3.4,2025-01-04,Electrónica,162.5,131.48,38.46,Regular
150,Ana Flores,32,65,4024.12,8,8,1.5,2025-05-08,Libros,49.23,125.75,25.0,Premium
151,Isabel García,39,86,72.93,5,8,4.0,2026-02-05,Ropa,45.35,1.87,12.82,Regular
152,Isabel Rodríguez,49,17,1700.82,8,0,3.6,2024-07-14,Electrónica,288.24,34.71,16.33,Regular
153,José Flores,32,71,2020.94,6,10,4.8,2024-03-13,Ropa,45.07,63.15,18.75,Regular
154,Isabel Torres,4,89,2710.11,8,2,1.3,2025-12-25,Deportes,4.49,677.53,200.0,Regular
155,Carmen González,30,45,4603.29,1,3,1.2,2024-06-03,Deportes,66.67,153.44,3.33,Regular
156,Ana Pérez,37,4,1764.41,7,13,2.1,2024-09-23,Libros,925.0,47.69,18.92,Regular
157,Ana González,23,36,1767.42,7,6,2.0,2025-04-26,Libros,63.89,76.84,30.43,Regular
158,José Martínez,39,70,3700.63,1,9,2.0,2025-06-23,Libros,55.71,94.89,2.56,Premium
159,Luis Ramírez,45,31,2288.48,3,3,4.6,2024-06-02,Ropa,145.16,50.86,6.67,Regular
160,Carmen Rodríguez,15,19,1161.79,6,1,2.0,2025-02-18,Hogar,78.95,77.45,40.0,Ocasional
161,Juan Ramírez,43,61,2289.58,3,6,2.1,2025-07-04,Hogar,70.49,53.25,6.98,Regular
162,Isabel Flores,29,54,747.24,3,5,4.0,2024-05-03,Hogar,53.7,25.77,10.34,Regular
163,María Rodríguez,36,39,923.12,5,2,2.8,2025-08-03,Deportes,92.31,25.64,13.89,Regular
164,Miguel López,13,91,2516.92,9,5,4.1,2024-05-19,Deportes,14.29,193.61,69.23,Regular
165,Miguel González,32,74,2123.68,5,10,1.3,2025-06-02,Hogar,43.24,66.36,15.62,Regular
166,Carlos Pérez,7,90,4578.49,9,14,3.0,2024-03-21,Libros,7.78,654.07,128.57,Regular
167,María López,22,19,1843.85,2,5,1.1,2024-04-09,Electrónica,115.79,83.81,9.09,Regular
168,Carmen González,28,39,2923.91,8,11,1.3,2024-03-18,Hogar,71.79,104.43,28.57,Regular
169,Carlos Ramírez,2,67,3179.71,9,4,4.6,2025-09-26,Electrónica,2.99,1589.86,450.0,Regular
170,Miguel González,42,45,114.82,1,3,1.6,2024-05-11,Hogar,93.33,2.73,2.38,Regular
171,Isabel Torres,45,13,3334.51,5,9,3.1,2025-11-06,Electrónica,346.15,74.1,11.11,Premium
172,Juan Torres,6,92,931.28,6,11,2.6,2024-05-12,Libros,6.52,155.21,100.0,Ocasional
173,Luis Rodríguez,28,58,4807.3,8,14,2.4,2024-04-23,Deportes,48.28,171.69,28.57,Regular
174,Carlos González,28,20,785.88,2,0,4.6,2026-01-04,Hogar,140.0,28.07,7.14,Regular
175,María Rodríguez,44,92,2102.39,9,9,1.1,2025-04-03,Hogar,47.83,47.78,20.45,Regular
176,Miguel Martínez,44,72,472.48,2,5,3.7,2024-11-19,Libros,61.11,10.74,4.55,Regular
177,Luis González,20,61,4984.53,6,1,4.9,2026-01-10,Ropa,32.79,249.23,30.0,Regular
178,Isabel López,30,39,2535.87,3,12,3.2,2024-06-30,Hogar,76.92,84.53,10.0,Regular
179,Carmen López,11,1,2997.16,7,2,4.7,2025-02-05,Electrónica,1100.0,272.47,63.64,Regular
180,Luis Torres,28,3,382.03,6,13,1.2,2025-10-02,Libros,933.33,13.64,21.43,Regular
181,Laura González,25,77,3762.3,4,7,2.7,2025-11-13,Ropa,32.47,150.49,16.0,Regular
182,Juan Rodríguez,39,92,1089.03,6,9,2.0,2025-04-17,Hogar,42.39,27.92,15.38,Regular
183,José González,33,62,4495.37,2,13,3.9,2025-03-16,Hogar,53.23,136.22,6.06,Premium
184,Juan García,1,63,1065.44,1,13,4.9,2024-12-15,Deportes,1.59,1065.44,100.0,Ocasional
185,Carmen Martínez,27,25,993.9,5,5,2.0,2025-08-18,Ropa,108.0,36.81,18.52,Regular
186,Luis Martínez,13,56,230.92,1,2,3.6,2025-07-23,Libros,23.21,17.76,7.69,Ocasional
187,Laura Torres,41,33,2386.73,2,6,1.8,2025-10-01,Electrónica,124.24,58.21,4.88,Regular
188,José Torres,3,38,2845.96,5,3,3.3,2024-08-10,Hogar,7.89,948.65,166.67,Regular
189,Juan Rodríguez,39,6,375.26,4,13,2.9,2025-02-04,Libros,650.0,9.62,10.26,Regular
190,María Martínez,6,58,3888.86,7,8,4.9,2024-08-19,Deportes,10.34,648.14,116.67,Regular
191,Miguel García,8,44,2293.78,8,14,3.4,2024-09-18,Hogar,18.18,286.72,100.0,Regular
192,Carmen Flores,27,45,2645.73,2,4,2.4,2025-05-10,Ropa,60.0,97.99,7.41,Regular
193,Miguel Martínez,9,32,2231.78,9,2,1.5,2025-08-29,Libros,28.12,247.98,100.0,Regular
194,José Martínez,37,45,2033.78,2,1,1.6,2025-05-26,Electrónica,82.22,54.97,5.41,Regular
195,Juan González,33,61,2820.22,2,10,1.9,2024-10-08,Deportes,54.1,85.46,6.06,Regular
196,Carmen García,42,47,818.44,5,1,2.0,2025-04-17,Libros,89.36,19.49,11.9,Regular
197,Carmen López,44,21,950.54,0,2,4.4,2025-03-04,Hogar,209.52,21.6,0.0,Regular
198,Ana Rodríguez,24,80,4315.84,6,1,3.2,2025-10-19,Electrónica,30.0,179.83,25.0,Regular
199,Carmen Torres,15,85,4733.27,0,13,3.1,2024-10-22,Hogar,17.65,315.55,0.0,Regular
200,José Flores,32,75,1897.88,4,3,1.5,2025-11-28,Hogar,42.67,59.31,12.5,Regular
201,Carlos López,32,36,1390.19,9,1,4.4,2025-09-22,Ropa,88.89,43.44,28.12,Regular
202,Carlos Martínez,24,99,3237.8,7,9,3.9,2025-06-27,Ropa,24.24,134.91,29.17,Regular
203,José García,41,19,2073.23,3,8,1.3,2024-03-23,Hogar,215.79,50.57,7.32,Regular
204,Carlos Pérez,49,20,175.66,4,1,3.8,2024-03-25,Deportes,245.0,3.58,8.16,Regular
205,José López,49,57,822.96,3,8,3.2,2025-01-03,Ropa,85.96,16.8,6.12,Regular
206,Luis Martínez,12,18,3594.06,3,12,1.3,2024-07-23,Ropa,66.67,299.5,25.0,Regular
207,María Sánchez,39,47,3311.67,7,5,2.8,2025-02-04,Ropa,82.98,84.91,17.95,Premium
208,Juan Ramírez,2,49,184.13,1,0,2.9,2025-11-13,Ropa,4.08,92.06,50.0,Ocasional
209,Ana López,3,14,1148.76,0,3,1.7,2025-01-05,Electrónica,21.43,382.92,0.0,Ocasional
210,Laura Pérez,49,15,1193.82,2,14,4.8,2026-01-30,Hogar,326.67,24.36,4.08,Regular
211,Luis López,37,31,3375.87,8,13,4.4,2025-05-19,Electrónica,119.35,91.24,21.62,Premium
212,Ana García,49,1,147.57,3,0,3.7,2024-08-13,Libros,4900.0,3.01,6.12,Regular
213,Ana Sánchez,17,54,565.34,9,13,2.8,2025-10-10,Libros,31.48,33.26,52.94,Regular
214,Carmen González,49,3,4009.58,4,5,2.6,2024-11-05,Libros,1633.33,81.83,8.16,Premium
215,María González,2,16,933.8,1,13,3.6,2025-02-01,Electrónica,12.5,466.9,50.0,Ocasional
216,Carmen Torres,2,87,3281.09,3,12,3.2,2024-03-27,Hogar,2.3,1640.54,150.0,Regular
217,José Torres,28,57,1229.0,1,3,1.2,2024-03-27,Libros,49.12,43.89,3.57,Regular
218,Carmen García,23,75,542.23,1,2,3.1,2025-05-21,Ropa,30.67,23.58,4.35,Regular
219,María González,37,12,1253.7,3,2,4.2,2024-06-25,Libros,308.33,33.88,8.11,Regular
220,Carlos Flores,32,74,3625.22,5,8,2.8,2025-01-19,Deportes,43.24,113.29,15.62,Premium
221,Luis García,33,96,4285.7,6,5,1.2,2024-05-01,Ropa,34.38,129.87,18.18,Premium
222,María Flores,1,16,4159.59,9,8,4.1,2025-01-29,Ropa,6.25,4159.59,900.0,Regular
223,José Pérez,19,72,2016.06,2,12,1.8,2025-10-26,Ropa,26.39,106.11,10.53,Regular
224,Carmen Sánchez,2,76,3357.02,2,4,2.0,2024-03-24,Libros,2.63,1678.51,100.0,Regular
225,Isabel Torres,44,24,1064.67,9,1,1.7,2025-06-19,Ropa,183.33,24.2,20.45,Regular
226,María Sánchez,26,28,1501.08,5,7,2.3,2024-10-19,Deportes,92.86,57.73,19.23,Regular
227,Isabel López,32,8,4486.86,2,4,4.0,2026-01-19,Electrónica,400.0,140.21,6.25,Premium
228,Luis García,6,92,114.36,1,1,3.1,2024-05-20,Deportes,6.52,19.06,16.67,Ocasional
229,José García,32,36,473.27,7,3,1.8,2024-07-19,Hogar,88.89,14.79,21.88,Regular
230,Miguel Torres,4,90,1079.04,4,8,4.5,2025-03-15,Ropa,4.44,269.76,100.0,Ocasional
231,Ana Pérez,11,8,181.33,0,14,4.5,2024-05-30,Deportes,137.5,16.48,0.0,Ocasional
232,José Rodríguez,17,58,948.11,2,3,4.5,2025-07-02,Libros,29.31,55.77,11.76,Regular
233,Carmen Flores,38,60,2936.06,9,12,2.0,2024-04-21,Hogar,63.33,77.26,23.68,Regular
234,Carmen Rodríguez,24,50,2136.05,7,11,2.8,2025-12-11,Deportes,48.0,89.0,29.17,Regular
235,Luis Torres,5,28,4468.72,3,11,4.9,2024-05-04,Ropa,17.86,893.74,60.0,Regular
236,Luis Sánchez,34,92,4096.35,6,11,4.1,2024-10-26,Libros,36.96,120.48,17.65,Premium
237,Carmen Sánchez,6,41,1742.0,9,12,1.1,2024-02-27,Ropa,14.63,290.33,150.0,Regular
238,Luis Torres,22,64,1334.15,1,14,1.3,2025-04-10,Hogar,34.38,60.64,4.55,Regular
239,Carlos López,11,27,1929.48,6,13,2.9,2024-04-20,Deportes,40.74,175.41,54.55,Regular
240,José Sánchez,48,63,2971.96,4,3,4.6,2024-12-22,Ropa,76.19,61.92,8.33,Regular
241,Carlos Flores,16,17,1376.92,4,1,3.2,2025-10-17,Hogar,94.12,86.06,25.0,Regular
242,Isabel González,33,73,3139.54,5,12,3.0,2025-09-23,Libros,45.21,95.14,15.15,Premium
243,José Torres,9,33,2076.59,8,11,1.4,2025-12-29,Deportes,27.27,230.73,88.89,Regular
244,Juan González,6,84,2782.63,5,14,3.6,2026-01-06,Deportes,7.14,463.77,83.33,Regular
245,Luis López,16,77,2208.83,7,5,4.3,2025-04-08,Hogar,20.78,138.05,43.75,Regular
246,José Flores,29,92,1507.61,6,12,2.5,2024-09-27,Deportes,31.52,51.99,20.69,Regular
247,Isabel Pérez,3,29,4744.84,8,10,4.1,2025-10-18,Libros,10.34,1581.61,266.67,Regular
248,Laura Ramírez,20,13,3829.85,3,13,4.9,2025-11-06,Libros,153.85,191.49,15.0,Regular
249,Laura López,36,46,743.56,1,1,1.8,2025-06-18,Deportes,78.26,20.65,2.78,Regular
250,Miguel Ramírez,19,35,4348.92,6,11,3.1,2024-08-12,Ropa,54.29,228.89,31.58,Regular
251,Carlos Rodríguez,26,6,2462.78,5,6,2.1,2025-09-28,Ropa,433.33,94.72,19.23,Regular
252,Luis Torres,3,82,4478.03,0,2,4.2,2025-01-12,Libros,3.66,1492.68,0.0,Regular
253,Isabel Pérez,19,69,4009.28,8,14,3.3,2024-11-06,Ropa,27.54,211.01,42.11,Regular
254,María López,20,47,2154.81,8,2,3.5,2025-01-30,Hogar,42.55,107.74,40.0,Regular
